DATE,ITEM NO.,KT,GROSS WT,NET WT.
14/09/2024,2408098ER,18,4.57,4.400
14/09/2024,2408099PN,18,1.6,1.396
14/09/2024,2408100ER,18,3.44,3.194
20/09/2024,2408114PN,18,8.59,8.034
14/09/2024,2408115PN,18,3.95,3.436
14/09/2024,2408116ER,18,3.8,3.580
14/09/2024,2408117ER,18,4.9,4.512
12/09/2024,2408118PN,18,6.48,3.438
14/09/2024,2408119PN,18,3.55,3.172
14/09/2024,2408120ER,18,3.44,3.286
24/09/2024,2408129PN,14,5.05,4.820
24/09/2024,2408130ER,14,2.87,2.760
24/09/2024,2408131PN,14,4.94,4.650
24/09/2024,2408132ER,14,2.83,2.654
24/09/2024,2408135PN,14,6.13,5.764
24/09/2024,2408136ER,14,3.84,3.592
24/09/2024,2408137PN,14,5.66,5.390
24/09/2024,2408139PN,14,2.08,1.856
24/09/2024,2408140ER,14,2.86,2.674
24/09/2024,2408141PN,14,1.02,0.868
24/09/2024,2408142ER,14,3.2,2.916
24/09/2024,2408143PN,14,3.07,2.832
24/09/2024,2408144ER,14,4.05,3.890
24/09/2024,2408145PN,14,4.89,4.684
24/09/2024,2408146ER,14,4.07,3.888
24/09/2024,2408147PN,14,7.45,6.920
24/09/2024,2408148ER,14,3.39,3.134
24/09/2024,2408149PN,14,1.16,0.970
24/09/2024,2408150ER,14,3.12,2.850
04/09/2024,2408180BG,18,20.9,20.678
04/09/2024,2408181BG,18,21.13,20.918
12/09/2024,2408182RN,18,4.43,4.002
06/09/2024,2408194BC/151BC,18,13.47,10.162
12/09/2024,2408195ER,18,5.25,4.034
23/09/2024,2408268ER,18,3.06,2.616
04/09/2024,2408269PN/07080PN,18,3.85,3.324
04/09/2024,2408270ER/07081ER,18,3.8,3.558
14/09/2024,2409031RN,14,15.14,14.968
14/09/2024,2409156RN,14,3.08,2.746
10/09/2024,2408267ER,18,3.01,2.370
